Age,City,County,State,Sex,Race / Ethnicity
30.0,Florence,Florence,Wisconsin,Female,"White / Caucasian, Hispanic / Latino"
45.0,Buffalo,Bertie,New York,Male,White / Caucasian
13.0,Lamar,Walton,Florida,Male,Uncertain
68.0,Santa Fe,Santa Fe,New Mexico,Male,Asian
50.0,Pharr,Sweet Grass,Missouri,Male,White / Caucasian
30.0,Norwalk,Fairfield,Connecticut,Male,"White / Caucasian, Hispanic / Latino"
55.0,Irving,Dallas,Texas,Male,Uncertain
30.0,Miami,Miami-Dade,Florida,Male,"White / Caucasian, Hispanic / Latino"
30.0,Florence,Blaine,Oregon,Male,White / Caucasian
19.0,Detroit,Wayne,Michigan,Female,"Black / African American, Hispanic / Latino"
30.0,Lake City,Columbia,Florida,Female,Black / African American
21.0,Philadelphia,Philadelphia,Pennsylvania,Male,White / Caucasian
25.0,Canyon,Santa Cruz,Arizona,Male,"White / Caucasian, Hispanic / Latino"
40.0,Peoria,Maricopa,Arizona,Unsure,"White / Caucasian, Black / African American, Uncertain"
20.0,Philadelphia,Philadelphia,Pennsylvania,Male,Uncertain
50.0,Ontario,San Bernardino,California,Male,White / Caucasian
13.0,Detroit,Wayne,Michigan,Female,"White / Caucasian, Black / African American, Uncertain"
17.0,Arkansas City,Wyandotte,Arkansas,Male,White / Caucasian
0.0,Bronx,Bronx,New York,Female,Uncertain
40.0,Detroit,Wayne,Michigan,Male,Black / African American
28.0,Raleigh,Bear Lake,North Carolina,Male,White / Caucasian
19.0,Atlanta,Fulton,Georgia,Male,White / Caucasian
25.0,Gila Bend,Deschutes,Oregon,Male,Uncertain
43.0,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American
45.0,Chicago,McCook,Illinois,Male,Hispanic / Latino
25.0,Washington,Washington,Utah,Male,White / Caucasian
27.0,Fresno,Fresno,California,Male,Hispanic / Latino
30.0,Knoxville,Knox,Tennessee,Female,White / Caucasian
30.0,Amarillo,Ventura,California,Male,"Hispanic / Latino, Asian"
25.0,Manhattan,York,New York,Female,Uncertain
19.0,Baltimore,Baltimore,Maryland,Male,Uncertain
24.0,Memphis,Shelby,Tennessee,Female,White / Caucasian
45.0,Warner Robins,McCook,Illinois,Male,"Black / African American, Hispanic / Latino"
35.0,Tallahassee,Treutlen,Florida,Male,"White / Caucasian, Hispanic / Latino"
50.0,Pasadena,Harris,Texas,Male,White / Caucasian
37.0,Detroit,Wayne,Michigan,Female,"Black / African American, Hispanic / Latino"
